,fileid,cluster,journal,subject
549,g1.globo.com___jornal-nacional_noticia_2018_07_presidente-do-stj-rejeita-143-pedidos-de-habeas-corpus-para-lula.html.txt,3,g1,prisao-lula
550,g1.globo.com___jornal-nacional_noticia_2019_07_15_senadores-estudam-proposta-paralela-para-incluir-estados-na-previdencia.ghtml.txt,2,g1,reforma-previdencia
551,g1.globo.com___jornal-nacional_noticia_2019_10_25_veja-como-ficaram-as-regras-de-transicao-para-a-aposentadoria-com-a-reforma-da-previdencia.ghtml.txt,6,g1,reforma-previdencia
552,g1.globo.com___mato-grosso_noticia_2016_07_manifestantes-fazem-protesto-em-mt-favor-do-impeachment-de-dilma.html.txt,5,g1,impeachment-dilma
553,g1.globo.com___minas-gerais_noticia_defesa-de-frederico-pacheco-primo-de-aecio-neves-entrega-dinheiro-em-agencia-da-caixa-em-bh.ghtml.txt,0,g1,afastamento-aecio
554,g1.globo.com___minas-gerais_noticia_em-delacao-joesley-batista-diz-que-aecio-pediu-para-ele-comprar-imoveis-no-rio-e-em-bh-para-pagar-dividas.ghtml.txt,0,g1,afastamento-aecio
555,g1.globo.com___mundo_blog_helio-gurovitz_post_2018_03_23_lula-solto-stf-na-lona.ghtml.txt,3,g1,prisao-lula
556,g1.globo.com___pb_paraiba_noticia_2019_11_08_manifestacao-a-favor-do-ex-presidente-lula-acontece-em-joao-pessoa.ghtml.txt,3,g1,soltura-lula
557,g1.globo.com___pe_pernambuco_noticia_2019_11_08_militantes-se-reunem-no-recife-e-festejam-a-libertacao-de-lula.ghtml.txt,3,g1,soltura-lula
558,g1.globo.com___pe_pernambuco_noticia_2019_11_17_lula-participa-de-festival-de-musica-no-recife.ghtml.txt,5,g1,soltura-lula
559,g1.globo.com___politica_ao-vivo_stf-julgamento-prisao-de-condenados-segunda-instancia.ghtml.txt,3,g1,soltura-lula
560,g1.globo.com___politica_blog_gerson-camarotti_post_2019_11_08_em-liberdade-lula-comeca-a-buscar-polarizacao-bolsonaro-deve-resgatar-discurso-antipetista.ghtml.txt,5,g1,soltura-lula
561,g1.globo.com___politica_blog_matheus-leitao_post_cardozo-emociona-senadores-pro-impeachment-e-recebe-ligacao-de-dilma.html.txt,1,g1,impeachment-dilma
562,g1.globo.com___politica_blog_valdo-cruz_post_2019_03_11_pec-do-pacto-federativo-vai-ajudar-a-aprovar-reforma-da-previdencia-avalia-paulo-guedes.ghtml.txt,2,g1,reforma-previdencia
563,g1.globo.com___politica_noticia_2015_12_eduardo-cunha-informa-que-autorizou-processo-de-impeachment-de-dilma.html.txt,1,g1,impeachment-dilma
564,g1.globo.com___politica_noticia_2015_12_leia-integra-da-carta-enviada-pelo-vice-michel-temer-dilma.html.txt,1,g1,impeachment-dilma
565,g1.globo.com___politica_noticia_2016_03_por-aclamacao-pmdb-oficializa-rompimento-com-governo-dilma.html.txt,1,g1,impeachment-dilma
566,g1.globo.com___politica_noticia_2016_05_audio-de-juca-deixa-evidente-carater-golpista-do-impeachment-diz-dilma.html.txt,1,g1,impeachment-dilma
567,g1.globo.com___politica_noticia_2018_12_04_apos-dois-votos-contra-liberdade-de-lula-julgamento-na-2a-turma-do-stf-e-adiado.ghtml.txt,3,g1,soltura-lula
568,g1.globo.com___politica_noticia_2018_12_19_marco-aurelio-mello-determina-soltura-de-todos-os-presos-com-condenacao-apos-2a-instancia.ghtml.txt,3,g1,soltura-lula
569,g1.globo.com___politica_noticia_2019_02_14_reforma-da-previdencia-preve-idade-minima-de-65-anos-para-homens-e-62-para-mulheres-diz-secretario.ghtml.txt,6,g1,reforma-previdencia
570,g1.globo.com___politica_noticia_2019_03_23_bolsonaro-e-maia-travam-duelo-de-declaracoes-sobre-votacao-da-previdencia-veja-frases.ghtml.txt,2,g1,reforma-previdencia
571,g1.globo.com___politica_noticia_2019_04_03_ccj-da-camara-ouve-paulo-guedes-sobre-reforma-da-previdencia.ghtml.txt,2,g1,reforma-previdencia
572,g1.globo.com___politica_noticia_2019_04_09_bolsonaro-e-maia-dizem-que-nao-gostariam-de-fazer-reforma-da-previdencia-mas-sao-obrigados.ghtml.txt,2,g1,reforma-previdencia
573,g1.globo.com___politica_noticia_2019_04_16_apos-12-horas-ccj-encerra-debate-sobre-previdencia-sessao-sera-retomada-nesta-quarta.ghtml.txt,2,g1,reforma-previdencia
574,g1.globo.com___politica_noticia_2019_04_23_ccj-da-camara-da-aval-a-reforma-da-previdencia-e-texto-segue-para-comissao-especial.ghtml.txt,2,g1,reforma-previdencia
575,g1.globo.com___politica_noticia_2019_04_25_entenda-os-proximos-passos-da-reforma-da-previdencia-na-comissao-especial.ghtml.txt,2,g1,reforma-previdencia
576,g1.globo.com___politica_noticia_2019_06_06_governadores-vao-divulgar-carta-de-repudio-contra-retirada-dos-estados-da-reforma-da-previdencia.ghtml.txt,2,g1,reforma-previdencia
577,g1.globo.com___politica_noticia_2019_06_11_lewandowski-vota-para-derrubar-sumula-do-trf-4-que-ordena-prisao-apos-condenacao-em-2a-instancia.ghtml.txt,3,g1,soltura-lula
578,g1.globo.com___politica_noticia_2019_06_18_comissao-da-camara-discutira-reforma-previdencia-nesta-terca-saiba-como-sera-a-sessao.ghtml.txt,2,g1,reforma-previdencia
579,g1.globo.com___politica_noticia_2019_07_04_comissao-especial-da-camara-dos-deputados-aprova-texto-base-da-reforma-da-previdencia.ghtml.txt,6,g1,reforma-previdencia
580,g1.globo.com___politica_noticia_2019_07_04_reforma-da-previdencia-veja-as-proximas-etapas-da-tramitacao-apos-a-comissao-especial.ghtml.txt,2,g1,reforma-previdencia
581,g1.globo.com___politica_noticia_2019_07_10_camara-aprova-em-primeiro-turno-texto-base-da-pec-da-previdencia.ghtml.txt,2,g1,reforma-previdencia
