url,subject,journal
https://veja.abril.com.br/politica/datafolha-apoio-ao-impeachment-de-dilma-e-rejeicao-de-lula-batem-recorde/,impeachment-dilma,veja
https://veja.abril.com.br/politica/camara-ja-derrubou-o-governo-diz-cunha/,impeachment-dilma,veja
https://veja.abril.com.br/politica/lewandowski-fatia-votacao-do-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/blog/felipe-moura-brasil/tchau-querida-camara-autoriza-impeachment-de-dilma-vitoria-parcial-contra-a-impunidade/,impeachment-dilma,veja
https://veja.abril.com.br/politica/lavenere-faz-discurso-do-medo-e-diz-que-impeachment-e-pena-de-morte-de-dilma-e-de-programas-sociais/,impeachment-dilma,veja
https://veja.abril.com.br/politica/e-de-chorar-de-vergonha-diz-joaquim-barbosa-sobre-votacao-do-impeachment-na-camara/,impeachment-dilma,veja
https://veja.abril.com.br/politica/fhc-agora-o-caminho-e-o-impeachment/,impeachment-dilma,veja
https://veja.abril.com.br/politica/confira-o-voto-de-cada-senador-no-impeachment-de-dilma/,impeachment-dilma,veja
https://veja.abril.com.br/blog/felipe-moura-brasil/entenda-por-que-dilma-cometeu-o-crime-das-8220-pedaladas-fiscais-8221-8211-e-fhc-e-lula-nao/,impeachment-dilma,veja
https://veja.abril.com.br/mundo/impeachment-de-dilma-repercute-na-imprensa-internacional/,impeachment-dilma,veja
"https://politica.estadao.com.br/noticias/geral,por-450-votos-a-10-camara-cassa-mandato-de-eduardo-cunha-algoz-de-dilma-no-impeachment,10000075657",impeachment-dilma,estadao
https://politica.estadao.com.br/blogs/fausto-macedo/ao-vivo-camara-decide-se-abre-processo-de-impeachment-de-dilma/,impeachment-dilma,estadao
https://politica.estadao.com.br/blogs/fausto-macedo/o-que-estao-dizendo-os-senadores-sobre-impeachment-de-dilma/,impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,decisao-de-prosseguimento-do-impeachment-tera-5-votacoes-na-madrugada-desta-quarta,10000068281",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,tucano-e-eleito-relator-do-impeachment-no-senado,10000028121",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,placar-do-impeachment-mostra-277-votos-a-favor-e-114-contra-o-afastamento-de-dilma,10000025554",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,janaina-paschoal-chora-e-pede-desculpas-a-dilma-por-ter-causado-sofrimento,10000072903",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,deputado-vai-ao-stf-para-juntar-pedido-de-impeachment-de-temer-a-processo-contra-dilma,10000025140",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,governistas-querem-barrar-testemunhas-da-defesa-de-dilma-na-comissao-do-impeachment,10000054865",impeachment-dilma,estadao
https://politica.estadao.com.br/blogs/fausto-macedo/leia-a-integra-da-carta-de-dilma-a-comissao-do-impeachment/,impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,governo-e-oposicao-pressionam-ministros-por-decisao-de-impeachment,10000021245",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,comissao-do-impeachment-ouve-primeiras-testemunhas-da-acusacao-nesta-quarta,10000055909",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,aliados-de-cunha-querem-adiamento-de-votacao,10000073615",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,comissao-do-impeachment-comeca-a-ouvir-testemunhas-da-defesa-de-dilma,10000057092",impeachment-dilma,estadao
https://politica.estadao.com.br/blogs/fausto-macedo/para-especialistas-stf-nao-vai-interferir-no-processo-de-impeachment/,impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,juristas-que-pedem-impeachment-falam-a-comissao-da-camara,10000023930",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,supremo-termina-de-publicar-acordao-sobre-rito-do-impeachment,10000020113",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,no-dia-da-votacao-do-impeachment--dilma-mantem-rotina-matinal-de-exercicio,10000026528",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,pais-tem-protestos-contra-impeachment-e-comemoracao-de-grupos-anti-dilma,10000073314",impeachment-dilma,estadao
https://politica.estadao.com.br/blogs/coluna-do-estadao/apos-aprovacao-do-impeachment-dilma-se-pronuncia-e-diz-que-ira-recorrer/,impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,presidente-da-bolivia-diz-que-vai-retirar-embaixador-no-brasil-se-impeachment-for-aprovado,10000073111",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,oab-decide--por-27-votos-a-2--apoiar-o-pedido-de-impeachment-de-dilma-no-congresso,10000022109",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,jean-wyllys-cospe-em-direcao-a-bolsonaro-apos-votar-contra-impeachment,10000026656",impeachment-dilma,estadao
https://politica.estadao.com.br/blogs/fausto-macedo/a-historia-me-reservou-este-momento-diz-collor-pelo-impeachment-de-dilma/,impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,papelada-do-impeachment-chega-ao-senado,10000026815",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,presidente-da-camara-marca-votacao-de-cassacao-de-cunha-para-12-de-setembro-apos-impeachment,10000068498",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,para-defender-dilma--ex-presidente-da-oab-compara-impeachment-com-caso-collor,10000048831",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,apos-reuniao-de-liderancas--psdb-reitera-apoio-a-impeachment-de-dilma,10000025607",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,dilma-recebeu-collor-por-mais-de-duas-horas-no-alvorada-na-sexta-feira,10000072413",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,temer-ja-se-comporta-como-efetivo,10000071872",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,g-8-do-impeachment-teve-reunioes-durante-um-ano,10000026435",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,politicos-marcam-presenca-em-manifestacoes-pelo-brasil,10000020996",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,contra-impeachment--dilma-negocia-cargos-com-poder-sobre-r-38-bilhoes,10000025744",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,janot-e-contra-pedido-para-anular-impeachment-por-atuacao-de-cunha,10000074371",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,pt-quer-trazer-gravacao-de-juca-para-segunda-fase-do-processo-de-impeachment,10000053412",impeachment-dilma,estadao
"https://politica.estadao.com.br/noticias/geral,vou-instalar-comissao-do-impeachment-no-dia-seguinte-a-decisao-do-stf--diz-cunha,10000020854",impeachment-dilma,estadao
